position,ingredients,url,label
69,"flour,salt,oil,cold water,apple,sugar,cinnamon,butter",apple_pie/20_homemade_apple_pie_hostedLargeUrl.jpg,Vegetarian
91,"shell,pie,sugar,flour,cinnamon,apple,lemon,butter,milk",apple_pie/43_homestyle_apple_pie_hostedLargeUrl.jpg,Vegetarian
77,"apple,lemon,sugar,flour,cinnamon,nut,butter,salt,butter,ice water",apple_pie/28_apple_pie_hostedLargeUrl.jpg,Vegetarian
88,"pie,apple,sugar,corn starch,cinnamon,lemon,butter,egg,cold water",apple_pie/39_classic_apple_pie_hostedLargeUrl.jpg,Vegetarian
62,"apple,brown sugar,butter,cinnamon,allspice,nut,pie",apple_pie/13_mug_apple_pie_hostedLargeUrl.jpg,Vegetarian
93,"pie,apple,sugar,flour,cinnamon,salt,nut,lemon",apple_pie/45_perfect_apple_pie_hostedLargeUrl.jpg,Vegetarian
57,"apple,pie,butter,cinnamon",apple_pie/8_apple_pie_hostedLargeUrl.jpg,Vegetarian
67,"pie,apple,sugar,flour,lemon,cinnamon,nut,salt,butter",apple_pie/18_apple_pie_hostedLargeUrl.jpg,Vegetarian
63,"apple,lemon,honey,cinnamon,nut,cloves,apple,margarine,corn starch,nut",apple_pie/14_crustless_apple_pie_hostedLargeUrl.jpg,Vegetarian
83,"apple,water,crust,sugar,cinnamon,salt,corn starch,pie,egg",apple_pie/34_perfect_apple_pie_hostedLargeUrl.jpg,Vegetarian
56,"butter,flour,sugar,brown sugar,apple,cinnamon,nut",apple_pie/7_apple_pie_hostedLargeUrl.jpg,Vegetarian
95,"flour,salt,shortening,sugar,nut,cinnamon,apple,butter",apple_pie/47_the_best_apple_pie_hostedLargeUrl.jpg,Vegetarian
81,"flour,butter,caster sugar,cold water,orange,cinnamon,brown sugar,apple,apple,flour,amaretti,egg",apple_pie/32_apple_mummy_pie!_hostedLargeUrl.jpg,Vegetarian
75,"flour,salt,sugar,butter,ice water,apple,apple,brown sugar,cinnamon,nut,corn starch,lemon,egg",apple_pie/26_apple_pie_hostedLargeUrl.jpg,Vegetarian
72,"apple,brown sugar,sugar,lemon,flour,cinnamon,pie,butter",apple_pie/23_apple_pie_hostedLargeUrl.jpg,Vegetarian
52,"crust,flour,salt,oil,milk,apple,brown sugar,flour,cinnamon",apple_pie/3_easy_homemade_apple_pie_hostedLargeUrl.jpg,Vegetarian
79,"apple,sugar,flour,cinnamon,nut,butter,vanilla bean",apple_pie/30_apple_pie_hostedLargeUrl.jpg,Vegetarian
58,"pie,apple,sugar,flour,cinnamon,lemon,butter",apple_pie/9_brown_bag_apple_pie_hostedLargeUrl.jpg,Vegetarian
96,"pie,apple,sugar,flour,cinnamon,salt,nut,vanilla,lemon",apple_pie/48_perfect_apple_pie_hostedLargeUrl.jpg,Vegetarian
74,"crust,sugar,flour,cinnamon,nut,salt,apple,butter",apple_pie/25_mom's_apple_pie_hostedLargeUrl.jpg,Vegetarian
54,"sugar,cinnamon,flour,lemon,apple",apple_pie/5_apple_pie_hostedLargeUrl.jpg,Vegetarian
66,"apple,butter,flour,sugar,brown sugar,cinnamon,water,nut,vanilla,pie",apple_pie/17_apple_pie_hostedLargeUrl.jpg,Vegetarian
64,"flour,sugar,salt,oil,milk,apple,cinnamon,butter",apple_pie/15_apple_pie_hostedLargeUrl.jpg,Vegetarian
49,"apple,lemon,cinnamon,mixed spice,vanilla pod,salt,brown sugar,puff,egg,sugar",apple_pie/0_spiced_apple_lattice_pie_hostedLargeUrl.jpg,Vegetarian
94,"flour,caster sugar,salt,butter,egg,cinnamon,apple,egg",apple_pie/46_placatory_pregnancy_apple_pie_hostedLargeUrl.jpg,Vegetarian
70,"flour,sugar,baking,butter,egg,egg,apple,cinnamon",apple_pie/21_szarlotka_(polish_apple_pie)_hostedLargeUrl.jpg,Vegetarian
61,"pie,apple,cinnamon,water,vanilla ice",apple_pie/12_magically_fast_apple_pie_hostedLargeUrl.jpg,Vegetarian
84,"apple,flour,sugar,lemon,cinnamon,egg,ice water,salt,shortening,butter",apple_pie/35_apple_pie_hostedLargeUrl.jpg,Vegetarian
92,"flour,ice water,butter,sugar,salt,apple,brown sugar,cinnamon",apple_pie/44_classic_american_apple_pie_hostedLargeUrl.jpg,Vegetarian
86,"pie,apple,sugar,lemon,cinnamon,flour,butter,brown sugar,nut",apple_pie/37_slab_apple_pie_with_easy_crumb_top_hostedLargeUrl.jpg,Vegetarian
65,"apple,lemon,flour,vanilla,nut,cinnamon,brown sugar,sugar,dough,egg,milk",apple_pie/16_apple_pie_hostedLargeUrl.jpg,Vegetarian
76,"apple,flour,sugar,salt,gin,cinnamon,pie",apple_pie/27_apple_pie_hostedLargeUrl.jpg,Vegetarian
82,"apple,sugar,flour,salt,cinnamon,pie",apple_pie/33_german_apple_pie_hostedLargeUrl.jpg,Vegetarian
68,"apple,margarine,flour,water,oats,sugar,corn starch,cinnamon",apple_pie/19_apple_pie_hostedLargeUrl.jpg,Vegetarian
87,"apple,sugar,cinnamon,lemon,flour,salt,butter,ice water",apple_pie/38_apple_pie_for_one_hostedLargeUrl.jpg,Vegetarian
112,"butter,flour,milk,salt,nut,cheese,cheese,ham,cheese,dijon mustard,sandwiches,egg,butter",croque_madame/14_croque_madame_hostedLargeUrl.jpg,Vegetarian-Not
142,"bread,butter,butter,ham,cheese,ham,egg,pepper,salt,parsley",croque_madame/44_pressed_croque_madame_hostedLargeUrl.jpg,Vegetarian-Not
121,"butter,cheddar,bread,ham,egg",croque_madame/23_croque_madame_hostedLargeUrl.jpg,Vegetarian-Not
131,"bread,butter,cheese,ham,marjoram,egg",croque_madame/33_croque_monsieur_and_croque_madame_hostedLargeUrl.jpg,Vegetarian-Not
99,"butter,flour,milk,salt,black pepper,nut,cheese,bread,dijon mustard,ham,egg",croque_madame/1_croque-madame_hostedLargeUrl.jpg,Vegetarian-Not
145,"bread,ham,cheese,butter,flour,fat,salt,black pepper,nut,oil,egg",croque_madame/47_croque_monsieur_and_croque_madame_hostedLargeUrl.jpg,Vegetarian-Not
124,"butter,flour,milk,salt,bay leaf,onion,nut,thyme,cheese,bread,ham,cheese,nonstick spray,egg",croque_madame/26_croque_madame_hostedLargeUrl.jpg,Vegetarian-Not
