category,vegetarian
apple_pie,0.0
baby_back_ribs,0.6097560975609756
baklava,0.0
beef_carpaccio,0.7777777777777778
beef_tacos,0.8863636363636364
beef_tartare,0.7631578947368421
beet_salad,0.08333333333333333
beignets,0.0
bibimbap,0.7021276595744681
bread_pudding,0.0
breakfast_burrito,0.4146341463414634
bruschetta,0.05714285714285714
caesar_salad,0.8775510204081632
cannoli,0.030303030303030304
caprese_salad,0.02857142857142857
carrot_cake,0.0
ceviche,0.7209302325581395
cheese_plate,0.41025641025641024
cheesecake,0.45
chicken_curry,1.0
chicken_quesadilla,1.0
chicken_wings,1.0
chocolate_cake,0.02857142857142857
chocolate_ice_cream,0.0
chocolate_mousse,0.0
churros,0.0
clam_chowder,1.0
club_sandwich,0.9622641509433962
crab_cakes,1.0
creme_brulee,0.0
croque_madame,0.9591836734693877
cupcakes,0.02857142857142857
deviled_eggs,0.16216216216216217
donuts,0.11764705882352941
dumplings,0.5
edamame,0.05555555555555555
eggs_benedict,0.7857142857142857
escargots,0.5652173913043478
falafel,0.05714285714285714
filet_mignon,0.9555555555555556
fish_and_chips,0.6444444444444445
foie_gras,0.9565217391304348
french_fries,0.1388888888888889
french_onion_soup,0.9375
french_toast,0.05714285714285714
fried_calamari,0.2
fried_rice,0.6904761904761905
frozen_yogurt,0.19444444444444445
garlic_bread,0.0
gnocchi,0.28205128205128205
greek_salad,0.05714285714285714
grilled_cheese_sandwich,0.3333333333333333
grilled_salmon,0.975
guacamole,0.02857142857142857
gyoza,0.7857142857142857
hamburger,0.8723404255319149
hot_and_sour_soup,0.7272727272727273
hot_dog,0.6511627906976745
huevos_rancheros,0.05555555555555555
hummus,0.0
lasagna,0.6046511627906976
lobster_bisque,1.0
lobster_roll_sandwich,0.9642857142857143
macaroni_and_cheese,0.10810810810810811
macarons,0.05555555555555555
miso_soup,0.1111111111111111
mussels,1.0
nachos,0.5609756097560976
omelette,0.3076923076923077
onion_rings,0.08333333333333333
oysters,1.0
pad_thai,0.8888888888888888
paella,0.8372093023255814
pancakes,0.1111111111111111
panna_cotta,0.13513513513513514
peking_duck,0.8666666666666667
pho,0.9333333333333333
pizza,0.325
pork_chop,1.0
poutine,0.6590909090909091
prime_rib,0.18421052631578946
pulled_pork_sandwich,1.0
ramen,0.6666666666666666
ravioli,0.08571428571428572
red_velvet_cake,0.0
risotto,0.5581395348837209
samosa,0.2702702702702703
sashimi,0.6190476190476191
scallops,0.21621621621621623
seaweed_salad,0.029411764705882353
shrimp_and_grits,0.9807692307692307
spaghetti_bolognese,0.8888888888888888
spaghetti_carbonara,0.6046511627906976
spring_rolls,0.5238095238095238
steak,0.8863636363636364
strawberry_shortcake,0.0
sushi,0.5952380952380952
takoyaki,0.16666666666666666
tiramisu,0.0
tuna_tartare,0.4838709677419355
waffles,0.11428571428571428
